"id","ra [deg]","dec [deg]","redshift","classification","probability","annotation origin","annotation origin key-value pair count","annotation key","annotation value","groups","Saved at","Alias","Origin","TNS"
"ZTF25aceekci","179.4402457","55.5079173","","","","","","","","Fast Transient GCN","2025-11-13T17:42:42","","Kowalski",""
"ZTF25aceemtn","183.287855","62.9057814","","","","","","","","Fast Transient GCN","2025-11-13T17:41:57","","Kowalski",""
"ZTF25aceekrw","180.7373273","48.3523607","","","","","","","","Fast Transient GCN","2025-11-13T17:40:14","","Kowalski",""
"ZTF25aceelbj","169.9459695","40.8974204","","","","","","","","Fast Transient GCN","2025-11-13T17:38:54","","Kowalski",""
"ZTF25acdeiid","37.8736064","7.7918917","","","","","","","","Fast Transient GCN","2025-11-11T18:49:20","","Kowalski","AT 2025acwj"
"ZTF25acdhetm","142.8859616","59.3761971","","","","ls_dr9-9907739645379578;ps1.dr2-179251428860102091","7;8","ra;dec;type;flux_z;z_phot_l95;z_phot_std;z_phot_median;ra;dec;gMeanPSFMag;iMeanPSFMag;rMeanPSFMag;yMeanPSFMag;zMeanPSFMag;distance_arcsec","142.88595691231106;59.376205672872885;PSF;0.893679;0.016273;0.239618;0.442666;142.88599609797456;59.37618167452314;21.92259979248047;-999;21.799800872802734;-999;20.976600646972656;0.08417874456115809","Fast Transient GCN","2025-11-10T17:26:02","","Kowalski","AT 2025acvr"
"ZTF25acdabfa","11.8618327","-6.8055532","0.056182","","","","","","","Fast Transient GCN","2025-11-10T17:20:36","","Kowalski","AT 2025acuu"
"ZTF25acczwqv","356.6010292","19.6816996","","","","ls_dr9-9906628824335124","7","ra;dec;type;flux_z;z_phot_l95;z_phot_std;z_phot_median","356.60099035254075;19.68189690642853;REX;11.777141;0.03066;0.036133;0.082444","Fast Transient GCN","2025-11-10T16:32:27","","Kowalski","AT 2025acwk"
"ZTF25acceztk","19.3838695","16.2460867","","","","","","","","Fast Transient GCN","2025-11-10T16:32:27","","Kowalski","AT 2025acre"
"ZTF25accgmpa","153.4617457","39.9867794","","","","","","","","Fast Transient GCN","2025-11-10T16:32:20","","Kowalski","AT 2025acry"
"ZTF25acbnchv","133.6458127","41.6376","","","","","","","","Fast Transient GCN","2025-11-10T16:28:39","","Kowalski",""
"ZTF25acbepkk","160.8875248","57.6582639","","","","","","","","Fast Transient GCN","2025-11-10T16:28:32","","Kowalski","AT 2025abzq"
"ZTF25acajztg","10.4484473","41.2726189","","","","","","","","Fast Transient GCN","2025-11-10T16:27:24","","Kowalski","AT 2025abrs"
"ZTF25acahpls","272.4645883","-20.9875175","","","","","","","","Fast Transient GCN","2025-10-28T15:03:08","","",""
"ZTF25acahrps","262.5182873","-19.5470918","","","","","","","","Fast Transient GCN","2025-10-28T14:28:19","","Kowalski",""
"ZTF25acaefyx","76.3354177","2.0912188","","","","","","","","Fast Transient GCN","2025-10-27T10:23:33","","Kowalski","AT 2025abol"
"ZTF25abzooqy","256.3113643","56.2153851","0.02918","IIb","0.6","","","","","Fast Transient GCN","2025-10-26T05:03:17","","Kowalski","SN 2025abku"
"ZTF25abztjzq","73.2196952","-1.4391017","","Cataclysmic","1","ls_dr9-9906620870170098","7","ra;dec;type;flux_z;z_phot_l95;z_phot_std;z_phot_median","73.2196901582128;-1.4390843364950143;PSF;0.23855;0.113617;0.619862;0.727176","Fast Transient GCN","2025-10-25T07:22:42","","Kowalski","AT 2025abne"
"ZTF25abxqirh","85.4829058","-23.1426239","","Cataclysmic","0.8","","","","","Fast Transient GCN","2025-10-24T17:38:51","","Kowalski",""
"ZTF25abybulv","44.0134576","5.5300957","","","","allwise_p3as_psd-44.0136334-5.5300516","8","ra;dec;w1mpro;w2mpro;w3mpro;w4mpro;w1sigmpro;w2sigmpro","44.0136334;5.5300516;15.01099967956543;14.755000114440918;11.968999862670898;8.25100040435791;0.03400000184774399;0.061000000685453415","Fast Transient GCN","2025-10-24T15:09:17","","Kowalski",""
"ZTF25abxrifp","159.2696031","12.2143255","","","","","","","","Fast Transient GCN","2025-10-24T15:09:16","","Kowalski","AT 2025abff"
